Category,Subcategory,Example (literal or template),Severity (High/Medium/Low),Why it reads as AI,Human alternative / fix
Lexical/Word choice,AI-scent vocabulary,harness the power of,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,unleash the potential of,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,empower,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,leverage,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,utilize,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,pivotal,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,crucial,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,significant,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,noteworthy,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,groundbreaking,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,cutting-edge,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,revolutionary,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,transformative,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,burgeoning,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,rapidly evolving,High,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,ever‑evolving,High,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,landscape,High,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,realm,High,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,ecosystem,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,trajectory,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,Filler words,just (when used as emphasis),Medium,"Crutch words that weaken statements and signal hesitant, AI-generated prose. When used as emphasis/filler rather than temporal meaning.","Delete unless serving essential temporal function (e.g., 'I just arrived' is fine; 'It's just amazing' should be cut)."
Lexical/Word choice,Filler words,actually (when used as emphasis),Medium,"Crutch words that weaken statements and signal hesitant, AI-generated prose. When used as emphasis/filler rather than contradictory meaning.","Delete unless serving essential contradictory function (e.g., 'Actually, that's wrong' is fine; 'It's actually quite good' should be cut)."
Discourse markers,Transitional adverbs,Moreover,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,Furthermore,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,Additionally,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,Consequently,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,Hence,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,Thus,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,Therefore,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,Notably,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,Importantly,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,Conversely,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,Subsequently,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,Nevertheless,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,Nonetheless,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,In contrast,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Discourse markers,Transitional adverbs,On the other hand,Medium,LLMs chain paragraphs with formal transitions at a higher-than-human rate.,"Vary transitions or drop them; switch to simpler connectors ('and', 'but'); reorder sentences."
Sentence structure,Hedging/contrast templates,"While it is true that [X], [Y]",Medium,Highly templated scaffolds LLMs rely on to balance tone and structure.,Cut scaffolding; write the claim directly; use one clear contrast example instead of a template.
Sentence structure,Hedging/contrast templates,"While [X], [Y]",Medium,Highly templated scaffolds LLMs rely on to balance tone and structure.,Cut scaffolding; write the claim directly; use one clear contrast example instead of a template.
Sentence structure,Hedging/contrast templates,"That said, [X]",Medium,Highly templated scaffolds LLMs rely on to balance tone and structure.,Cut scaffolding; write the claim directly; use one clear contrast example instead of a template.
Sentence structure,Hedging/contrast templates,"With that in mind, [X]",Medium,Highly templated scaffolds LLMs rely on to balance tone and structure.,Cut scaffolding; write the claim directly; use one clear contrast example instead of a template.
Sentence structure,Hedging/contrast templates,"Not only [X], but also [Y]",High,Highly templated scaffolds LLMs rely on to balance tone and structure.,Cut scaffolding; write the claim directly; use one clear contrast example instead of a template.
Sentence structure,Hedging/contrast templates,"Whether [X] or [Y], [Z]",High,Highly templated scaffolds LLMs rely on to balance tone and structure.,Cut scaffolding; write the claim directly; use one clear contrast example instead of a template.
Sentence structure,Hedging/contrast templates,"From [A] to [B], [C]",High,Highly templated scaffolds LLMs rely on to balance tone and structure.,Cut scaffolding; write the claim directly; use one clear contrast example instead of a template.
Sentence structure,Hedging/contrast templates,It goes without saying that [X],Medium,Highly templated scaffolds LLMs rely on to balance tone and structure.,Cut scaffolding; write the claim directly; use one clear contrast example instead of a template.
Sentence structure,Hedging/contrast templates,"As we have seen, [X]",Medium,Highly templated scaffolds LLMs rely on to balance tone and structure.,Cut scaffolding; write the claim directly; use one clear contrast example instead of a template.
Sentence structure,Hedging/contrast templates,"As a reminder, [X]",Medium,Highly templated scaffolds LLMs rely on to balance tone and structure.,Cut scaffolding; write the claim directly; use one clear contrast example instead of a template.
Discourse markers,Closers,"In conclusion, [X]",High,LLMs default to formulaic wrap-ups that restate points instead of adding insight.,"End on one sharp implication, next step, or specific unanswered question."
Discourse markers,Closers,"Overall, [X]",High,LLMs default to formulaic wrap-ups that restate points instead of adding insight.,"End on one sharp implication, next step, or specific unanswered question."
Discourse markers,Closers,"Ultimately, [X]",High,LLMs default to formulaic wrap-ups that restate points instead of adding insight.,"End on one sharp implication, next step, or specific unanswered question."
Discourse markers,Closers,"All in all, [X]",High,LLMs default to formulaic wrap-ups that restate points instead of adding insight.,"End on one sharp implication, next step, or specific unanswered question."
Discourse markers,Closers,"To sum up, [X]",High,LLMs default to formulaic wrap-ups that restate points instead of adding insight.,"End on one sharp implication, next step, or specific unanswered question."
Discourse markers,Closers,"By following these steps, you'll be well on your way to [goal]",High,LLMs default to formulaic wrap-ups that restate points instead of adding insight.,"End on one sharp implication, next step, or specific unanswered question."
Discourse markers,Closers,"Remember, [X] is a journey, not a destination",High,LLMs default to formulaic wrap-ups that restate points instead of adding insight.,"End on one sharp implication, next step, or specific unanswered question."
Lexical/Word choice,Corporate boilerplate,best-in-class,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,world-class,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,state of the art,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,seamless,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,frictionless,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,end-to-end solution,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,holistic,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,robust,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,scalable,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,comprehensive,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,future‑proof,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,game‑changer,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,mission‑critical,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,cutting-edge capabilities,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,drive impact,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,deliver value,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,synergy,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,customer‑centric,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Corporate boilerplate,data‑driven,Medium,Vague praise and puffery that LLMs insert to sound authoritative.,"Replace with measurable claims, numbers, and concrete nouns."
Lexical/Word choice,Travel & culture clichés,rich cultural heritage,Medium,Stereotyped descriptions seen heavily in AI tourism/culture copy.,"Name proper nouns, micro‑details, and sensory specifics; avoid stock superlatives."
Lexical/Word choice,Travel & culture clichés,breathtaking landscapes,Medium,Stereotyped descriptions seen heavily in AI tourism/culture copy.,"Name proper nouns, micro‑details, and sensory specifics; avoid stock superlatives."
Lexical/Word choice,Travel & culture clichés,vibrant nightlife,Medium,Stereotyped descriptions seen heavily in AI tourism/culture copy.,"Name proper nouns, micro‑details, and sensory specifics; avoid stock superlatives."
Lexical/Word choice,Travel & culture clichés,bustling markets,Medium,Stereotyped descriptions seen heavily in AI tourism/culture copy.,"Name proper nouns, micro‑details, and sensory specifics; avoid stock superlatives."
Lexical/Word choice,Travel & culture clichés,hidden gem,Medium,Stereotyped descriptions seen heavily in AI tourism/culture copy.,"Name proper nouns, micro‑details, and sensory specifics; avoid stock superlatives."
Lexical/Word choice,Travel & culture clichés,a melting pot of [X],Medium,Stereotyped descriptions seen heavily in AI tourism/culture copy.,"Name proper nouns, micro‑details, and sensory specifics; avoid stock superlatives."
Lexical/Word choice,Travel & culture clichés,nestled in the heart of [X],Medium,Stereotyped descriptions seen heavily in AI tourism/culture copy.,"Name proper nouns, micro‑details, and sensory specifics; avoid stock superlatives."
Lexical/Word choice,Travel & culture clichés,offers something for everyone,Medium,Stereotyped descriptions seen heavily in AI tourism/culture copy.,"Name proper nouns, micro‑details, and sensory specifics; avoid stock superlatives."
Structure/Formatting,Listicle symmetry,"Firstly, [X] / Secondly, [Y] / Thirdly, [Z]",Medium,Neatly symmetric outlines and numbered/how‑to structures are common defaults from LLMs.,"Break rhythm with an aside, example, or contradiction; vary paragraph length; collapse trivial steps."
Structure/Formatting,Listicle symmetry,Here are [N] tips/steps/things to know about [X],Medium,Neatly symmetric outlines and numbered/how‑to structures are common defaults from LLMs.,"Break rhythm with an aside, example, or contradiction; vary paragraph length; collapse trivial steps."
Structure/Formatting,Listicle symmetry,Step‑by‑step guide: [1] [2] [3],Medium,Neatly symmetric outlines and numbered/how‑to structures are common defaults from LLMs.,"Break rhythm with an aside, example, or contradiction; vary paragraph length; collapse trivial steps."
Structure/Formatting,Listicle symmetry,Each paragraph is ~the same length and shape,Medium,Neatly symmetric outlines and numbered/how‑to structures are common defaults from LLMs.,"Break rhythm with an aside, example, or contradiction; vary paragraph length; collapse trivial steps."
Structure/Formatting,Listicle symmetry,Bulleted list where each bullet starts with a bold label followed by a colon,Medium,Neatly symmetric outlines and numbered/how‑to structures are common defaults from LLMs.,"Break rhythm with an aside, example, or contradiction; vary paragraph length; collapse trivial steps."
Meta/Disclosure,Chatbot disclaimers,"As an AI language model, I [cannot/ do not] [X]",High,Direct self‑reference or stock refusal language—hard tell of AI origin.,"Remove; if disclosing AI assistance, do so in a house style note, not inline."
Meta/Disclosure,Chatbot disclaimers,I don't have browsing capabilities,High,Direct self‑reference or stock refusal language—hard tell of AI origin.,"Remove; if disclosing AI assistance, do so in a house style note, not inline."
Meta/Disclosure,Chatbot disclaimers,I cannot provide personal opinions,High,Direct self‑reference or stock refusal language—hard tell of AI origin.,"Remove; if disclosing AI assistance, do so in a house style note, not inline."
Meta/Disclosure,Chatbot disclaimers,I cannot assist with that request,High,Direct self‑reference or stock refusal language—hard tell of AI origin.,"Remove; if disclosing AI assistance, do so in a house style note, not inline."
Sentence structure,Vague authority,Studies show that [X] (without citation),Medium,LLMs gesture at evidence without specifics.,"Name the study, link it, include dates and numbers—or delete the claim."
Sentence structure,Vague authority,Experts agree that [X] (without names),Medium,LLMs gesture at evidence without specifics.,"Name the study, link it, include dates and numbers—or delete the claim."
Sentence structure,Vague authority,Research indicates [X] (vague),Medium,LLMs gesture at evidence without specifics.,"Name the study, link it, include dates and numbers—or delete the claim."
Sentence structure,Vague authority,"According to recent reports, [X]",Medium,LLMs gesture at evidence without specifics.,"Name the study, link it, include dates and numbers—or delete the claim."
Search pattern,Regex,\bdelv(e|ed|ing)\b,—,"Catches 'delve', 'delved', 'delving'",Use with care; review hits in context.
Search pattern,Regex,\bin (today'?s )?(fast[- ]paced|ever[- ]evolving|rapidly evolving) (world|landscape)\b,—,Fast‑paced/ever‑evolving opener,Use with care; review hits in context.
Search pattern,Regex,\bin the (realm|landscape) of\b,—,Realm/landscape opener,Use with care; review hits in context.
Search pattern,Regex,\b(leverag|utiliz|harness)e?\b,—,Leverage/utilize/harness variants,Use with care; review hits in context.
Search pattern,Regex,\b(moreover|furthermore|additionally|consequently|thus|hence|therefore)\b,—,Formal transitions,Use with care; review hits in context.
Search pattern,Regex,\bnot only\b.*\bbut also\b,—,Not only…but also,Use with care; review hits in context.
Search pattern,Regex,\bwhether\b.*\bor\b,—,Whether…or,Use with care; review hits in context.
Search pattern,Regex,\bfrom\b.*\bto\b,—,From…to (possible false range),Use with care; review hits in context.
Search pattern,Regex,\b(in conclusion|overall|ultimately|to sum up)\b,—,Formulaic closers,Use with care; review hits in context.
Search pattern,Regex,\bit is (important|worth) to note\b|\bit is (important|worth) noting\b,—,It is important/worth noting,Use with care; review hits in context.
Lexical/Sentential,Stock templates,"When it comes to [X], [claim]",Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,The [adjective] world of [X],Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,A comprehensive overview of [X],Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,A closer look at [X],Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,This guide will [help/show] you how to [X],Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,Here are some of the most important [tips/strategies] to help you [X],Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,This begs the question: [X],Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,"The truth is, [X]",Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,Here's the thing: [X],Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,"Now more than ever, [X]",Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,"In light of [X], [Y]",Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,It cannot be overstated that [X],Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,Plays a vital/significant/crucial role,Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,Serves as a testament to [X],Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,Underscores/highlights the importance of [X],Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,Stands as a reminder of [X],Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Lexical/Sentential,Stock templates,"As of [my/our] last update, [X]",Medium,General-purpose scaffolds that read generic or inflated in aggregate.,"Prefer concrete claims, numbers, and named sources; delete empty frames."
Sentence structure,Correlatives,"Consecutive negative parallelisms: ""It's not about X. It's about Y."" in sequence",High,"Multiple sentences using the same negative-positive contrast pattern create an unmistakable AI fingerprint. LLMs overuse this rhythmic device.","Vary the construction. Use direct statements. If making contrasts, use different syntactic patterns for each."
Sentence structure,Correlatives,"Not about X, it's about Y (repeated in consecutive sentences)",High,"When this pattern appears multiple times in close proximity, it signals algorithmic generation.",State what something IS rather than repeatedly stating what it ISN'T.
Structure/Formatting,Sentence patterns,"No X. No Y. Just Z.",High,"Formulaic three-beat structure LLMs use for false emphasis. Instantly recognizable as AI-generated.",Avoid entirely. Rewrite as a single sentence with context or use different rhetorical structure.
Structure/Formatting,Sentence patterns,"Staccato declarative triads (e.g., ""Documents become templates. Macros scale intelligence. Knowledge propagates."")",Medium,"Three short parallel sentences in succession create mechanical rhythm that signals AI generation.",Vary sentence length. Expand at least one sentence with context or qualification. Break the parallel structure.
Structure/Formatting,Sentence patterns,Short clipped phrases instead of sentences used repeatedly,Medium,"Excessive fragments create false urgency and manufactured punch. LLMs use this as a stylistic crutch.","Use complete sentences. Reserve fragments for genuine emphasis, not as default pattern."
Search pattern,Regex,\bno\s+\w+\.\s*no\s+\w+\.\s*just\s+\w+,—,"Catches ""No X. No Y. Just Z"" patterns",Use with care; review hits in context.
Search pattern,Regex,\bit'?s not about\b.*\bit'?s about\b,—,"Catches ""It's not about X, it's about Y"" patterns",Use with care; review hits in context.
Lexical/Word choice,MBA abstraction,problem space,High,"Inflates a plain word (""problem"" or ""issue"") into self-important jargon; signals corporate AI prose.","Use ""problem"" or ""issue""; if the writer can't restate it in plain English, the underlying claim is mushy."
